Time(s),Position(V)
0.354000,-1.251481
3.368000,-1.241320
6.366000,-1.285190
9.367000,-1.278269
12.367000,-1.293138
15.367000,-1.265099
18.367000,-1.262444
21.365000,-1.264678
24.365000,-1.230472
27.365000,-1.220135
30.365000,-1.201964
33.366000,-1.185701
36.366000,-1.162235
39.364000,-1.138333
42.364000,-1.109489
45.364000,-1.080869
48.364000,-1.046470
51.364000,-1.015361
54.363000,-0.979585
57.363000,-0.943565
60.363000,-0.902176
63.363000,-0.859730
66.363000,-0.816928
69.361000,-0.769964
72.361000,-0.722532
75.362000,-0.669979
78.362000,-0.616581
81.362000,-0.559714
84.362000,-0.502369
87.360000,-0.444140
90.360000,-0.390571
93.360000,-0.368913
96.360000,-0.340507
99.361000,-0.263111
102.359000,-0.149858
105.359000,-0.088777
108.359000,-0.057441
111.359000,0.008604
114.359000,0.094033
117.357000,0.175178
120.358000,0.227332
123.358000,0.316969
126.358000,0.406457
129.357000,0.469911
132.357000,0.536925
135.357000,0.640516
138.357000,0.771124
141.356000,0.858582
144.356000,0.939859
147.356000,1.013468
150.356000,1.100616
153.356000,1.185158
156.354000,1.270878
159.354000,1.355885
162.354000,1.435079
165.355000,1.520572
168.355000,1.609506
171.355000,1.697256
174.353000,1.784197
177.353000,1.870792
180.353000,1.957692
183.353000,2.039653
186.354000,2.126224
189.352000,2.207175
192.352000,2.288123
195.352000,2.366015
198.352000,2.440300
201.352000,2.511750
204.350000,2.588435
207.351000,2.661119
210.351000,2.734887
213.351000,2.810148
216.351000,2.891232
219.351000,2.975239
222.349000,3.060494
225.349000,3.142870
228.350000,3.220456
231.350000,3.289971
234.350000,3.353987
237.348000,3.414273
240.348000,3.470425
243.348000,3.507897
246.348000,3.579140
249.348000,3.643716
252.349000,3.711189
255.347000,3.785416
258.347000,3.854829
261.347000,3.913300
264.347000,3.964479
267.347000,4.010827
270.346000,4.052426
273.347000,4.092669
276.345000,4.129839
279.345000,4.169395
282.345000,4.208401
285.345000,4.250374
288.345000,4.292513
291.345000,4.339066
294.344000,4.379125
297.344000,4.406378
300.344000,4.438870
303.344000,4.463500
306.344000,4.493180
309.342000,4.512149
312.342000,4.528681
315.343000,4.531832
318.342000,4.556621
321.342000,4.566972
324.342000,4.574529
327.342000,4.586070
330.342000,4.586030
333.340000,4.603041
336.340000,4.591839
339.341000,4.594447
