Time(s),Position(V)
0.351000,1.835947
3.367000,1.848505
6.365000,1.830505
9.365000,1.844164
12.365000,1.826704
15.365000,1.808697
18.365000,1.815853
21.366000,1.789466
24.364000,1.788953
27.364000,1.758756
30.364000,1.743495
33.364000,1.718632
36.364000,1.692480
39.362000,1.665621
42.362000,1.640770
45.364000,1.609614
48.362000,1.575542
51.362000,1.539365
54.362000,1.502062
57.362000,1.466280
60.362000,1.423994
63.360000,1.380644
66.361000,1.339350
69.361000,1.296929
72.361000,1.252175
75.361000,1.202196
78.359000,1.156946
81.359000,1.105930
84.359000,1.053993
87.360000,0.998228
90.360000,0.942548
93.360000,0.886134
96.358000,0.826620
99.358000,0.764362
102.358000,0.702193
105.358000,0.637239
108.358000,0.569859
111.357000,0.503759
114.357000,0.436263
117.357000,0.364837
120.357000,0.294166
123.357000,0.224548
126.355000,0.151813
129.355000,0.079184
132.356000,0.003777
135.356000,-0.069883
138.356000,-0.143100
141.354000,-0.214611
144.354000,-0.293387
147.354000,-0.369083
150.354000,-0.446410
153.355000,-0.525037
156.355000,-0.606535
159.353000,-0.683336
162.353000,-0.761302
165.353000,-0.838797
168.353000,-0.918749
171.353000,-0.996647
174.351000,-1.075545
177.352000,-1.157513
180.352000,-1.236884
183.352000,-1.318919
186.352000,-1.406048
189.352000,-1.485078
192.350000,-1.566268
195.350000,-1.639512
198.351000,-1.708668
201.351000,-1.781522
204.351000,-1.848698
207.349000,-1.920451
210.349000,-1.996514
213.349000,-2.076904
216.349000,-2.158267
219.350000,-2.234061
222.348000,-2.305328
225.348000,-2.370125
228.348000,-2.428402
231.348000,-2.485540
234.348000,-2.552292
237.346000,-2.624761
240.347000,-2.699220
243.348000,-2.771122
246.346000,-2.836657
249.346000,-2.892969
252.346000,-2.939375
255.346000,-2.986801
258.346000,-3.033645
261.344000,-3.089702
264.345000,-3.150811
267.345000,-3.215802
270.345000,-3.279919
273.345000,-3.326614
276.345000,-3.368298
279.343000,-3.402609
282.343000,-3.435795
285.344000,-3.469680
288.344000,-3.502523
291.344000,-3.538299
294.342000,-3.576787
297.342000,-3.615725
300.342000,-3.652894
303.342000,-3.692437
306.342000,-3.722376
309.341000,-3.748661
312.341000,-3.770839
315.341000,-3.787438
318.341000,-3.809837
321.341000,-3.818006
324.341000,-3.820515
327.339000,-3.836676
330.340000,-3.845440
333.340000,-3.857579
336.340000,-3.862832
339.340000,-3.859439
342.338000,-3.860034
345.338000,-3.858793
348.338000,-3.859507
351.339000,-3.856002
354.339000,-3.850094
357.337000,-3.843635
360.337000,-3.834014
363.337000,-3.826777
366.337000,-3.813138
369.337000,-3.804079
372.335000,-3.791453
375.336000,-3.786089
378.336000,-3.762473
381.336000,-3.738581
384.336000,-3.715995
387.336000,-3.688918
390.334000,-3.656987
393.334000,-3.618250
396.335000,-3.573925
399.335000,-3.535164
402.335000,-3.496669
405.333000,-3.465299
408.333000,-3.431705
411.333000,-3.404628
414.333000,-3.369141
417.334000,-3.332431
420.334000,-3.293694
423.332000,-3.247475
426.332000,-3.193002
429.332000,-3.132219
432.332000,-3.073453
435.332000,-3.025918
438.330000,-2.979349
441.331000,-2.935547
