Time(s),Position(V)
0.338000,1.651227
3.352000,1.645992
6.350000,1.645197
9.350000,1.672664
12.350000,1.657122
15.351000,1.654746
18.351000,1.657853
21.351000,1.639581
24.349000,1.629331
27.349000,1.619401
30.349000,1.604906
33.349000,1.589908
36.347000,1.569538
39.348000,1.554676
42.348000,1.527528
45.348000,1.505506
48.348000,1.481244
51.348000,1.452658
54.346000,1.423453
57.346000,1.391301
60.347000,1.357813
63.347000,1.327687
66.347000,1.286054
69.345000,1.246800
72.345000,1.208594
75.345000,1.166481
78.345000,1.125201
81.346000,1.081855
84.346000,1.036693
87.344000,0.987278
90.344000,0.935698
93.344000,0.886168
96.344000,0.835992
99.344000,0.783250
102.342000,0.729596
105.343000,0.673654
108.343000,0.616224
111.343000,0.556397
114.343000,0.496570
117.341000,0.435576
120.341000,0.373812
123.341000,0.316021
126.342000,0.248504
129.342000,0.184985
132.340000,0.121487
135.340000,0.054310
138.340000,-0.010735
141.340000,-0.078589
144.340000,-0.143920
147.341000,-0.208448
150.339000,-0.276991
153.339000,-0.344590
156.339000,-0.414700
159.339000,-0.484328
162.339000,-0.554683
165.337000,-0.625783
168.338000,-0.694343
171.338000,-0.764138
174.337000,-0.831073
177.337000,-0.899351
180.337000,-0.967371
183.337000,-1.035333
186.337000,-1.104577
189.335000,-1.174466
192.336000,-1.244159
195.336000,-1.315819
198.336000,-1.388201
201.336000,-1.456186
204.334000,-1.524502
207.334000,-1.592556
210.334000,-1.652893
213.335000,-1.712451
216.335000,-1.771299
219.335000,-1.825579
222.333000,-1.884614
225.333000,-1.943740
228.333000,-2.004679
231.333000,-2.069690
234.333000,-2.137296
237.332000,-2.199975
240.332000,-2.258894
243.332000,-2.312742
246.332000,-2.360831
249.332000,-2.406101
252.330000,-2.448380
255.330000,-2.488728
258.331000,-2.534298
261.331000,-2.581612
264.331000,-2.631084
267.331000,-2.683501
270.329000,-2.732014
273.329000,-2.777523
276.329000,-2.818493
279.330000,-2.852705
282.330000,-2.887332
285.328000,-2.914171
288.328000,-2.939531
291.328000,-2.962739
294.328000,-2.983666
297.328000,-3.007146
300.326000,-3.028005
303.327000,-3.049425
306.327000,-3.070026
309.327000,-3.084902
312.327000,-3.100298
315.327000,-3.118927
318.325000,-3.133134
321.325000,-3.152167
324.326000,-3.162903
327.326000,-3.170790
330.325000,-3.177803
333.325000,-3.171000
336.325000,-3.182807
339.325000,-3.173360
342.323000,-3.169824
345.324000,-3.162556
348.324000,-3.161268
351.324000,-3.156383
354.324000,-3.138559
357.322000,-3.120464
360.322000,-3.107060
363.322000,-3.093561
366.323000,-3.076574
369.323000,-3.062728
372.321000,-3.040352
375.321000,-3.020612
378.321000,-3.000422
381.321000,-2.980447
384.321000,-2.960319
387.319000,-2.936709
390.320000,-2.913702
393.320000,-2.889481
396.320000,-2.864196
399.320000,-2.835728
402.320000,-2.803335
405.318000,-2.768824
408.318000,-2.732966
411.319000,-2.690558
414.319000,-2.643588
417.319000,-2.597868
420.317000,-2.554117
423.317000,-2.512528
426.317000,-2.470450
429.317000,-2.435360
432.318000,-2.395505
435.318000,-2.356863
438.316000,-2.318354
441.316000,-2.276497
444.316000,-2.229054
447.316000,-2.178970
450.316000,-2.125333
453.314000,-2.071594
456.315000,-2.013769
459.315000,-1.962618
462.315000,-1.907631
465.315000,-1.857680
468.313000,-1.807062
471.313000,-1.760819
474.313000,-1.708484
477.314000,-1.665297
480.314000,-1.615030
483.312000,-1.563079
486.312000,-1.507705
489.312000,-1.452841
492.312000,-1.397410
495.312000,-1.339190
498.313000,-1.278738
501.311000,-1.225101
504.311000,-1.172593
507.311000,-1.118545
510.311000,-1.067200
513.311000,-1.013022
516.309000,-0.964420
519.309000,-0.909716
522.310000,-0.858932
525.310000,-0.811693
528.310000,-0.762312
531.308000,-0.710464
534.308000,-0.661052
537.308000,-0.610873
540.308000,-0.559918
543.309000,-0.511303
546.309000,-0.465016
549.307000,-0.416886
552.307000,-0.374389
555.307000,-0.326454
558.307000,-0.285371
561.307000,-0.236868
564.306000,-0.193824
567.306000,-0.153775
570.306000,-0.116805
573.306000,-0.073884
576.306000,-0.033576
579.304000,0.002859
582.304000,0.030558
585.304000,0.066993
588.305000,0.105108
591.305000,0.138892
594.303000,0.170959
597.303000,0.200106
600.303000,0.231075
603.303000,0.263377
606.303000,0.287013
609.304000,0.310554
612.302000,0.340089
615.302000,0.364586
618.302000,0.385417
621.302000,0.407507
624.302000,0.424651
627.300000,0.437297
630.301000,0.456014
633.301000,0.474606
636.301000,0.484814
639.301000,0.498293
642.301000,0.508039
645.299000,0.513482
648.299000,0.522739
651.299000,0.536316
654.299000,0.534851
657.299000,0.545954
660.299000,0.545382
663.299000,0.546232
666.299000,0.549764
669.297000,0.545046
672.297000,0.550764
675.298000,0.536279
678.298000,0.525023
681.298000,0.517459
684.296000,0.515491
687.296000,0.500000
690.296000,0.488849
693.296000,0.476710
696.297000,0.460501
699.295000,0.442841
702.295000,0.426408
705.295000,0.406069
708.295000,0.388525
711.295000,0.370079
714.295000,0.350896
717.293000,0.328456
720.294000,0.306669
723.294000,0.279592
726.294000,0.255881
729.294000,0.229810
732.292000,0.205222
735.292000,0.177693
738.292000,0.149689
741.293000,0.119569
744.293000,0.091174
747.291000,0.057376
750.291000,0.025442
753.291000,-0.004589
756.291000,-0.040460
759.291000,-0.072871
762.290000,-0.109051
765.290000,-0.142529
768.290000,-0.178251
771.290000,-0.213510
774.290000,-0.250819
777.290000,-0.287825
780.288000,-0.326698
783.288000,-0.363514
786.289000,-0.404560
789.289000,-0.445251
792.289000,-0.483859
795.287000,-0.524894
798.287000,-0.564807
801.287000,-0.608575
804.287000,-0.649453
807.288000,-0.690298
810.288000,-0.731333
813.286000,-0.772408
816.286000,-0.809459
819.286000,-0.850831
822.286000,-0.891505
825.286000,-0.932931
828.285000,-0.971270
831.285000,-1.012363
834.285000,-1.053180
837.285000,-1.095524
840.285000,-1.136117
843.283000,-1.177179
846.283000,-1.218601
849.283000,-1.260755
852.284000,-1.302096
855.284000,-1.343243
858.282000,-1.385732
861.282000,-1.426604
864.282000,-1.464002
867.282000,-1.505009
870.282000,-1.542145
873.283000,-1.580423
876.281000,-1.614727
879.281000,-1.648089
882.281000,-1.682492
885.281000,-1.711414
888.281000,-1.743118
891.279000,-1.774457
894.280000,-1.800361
897.280000,-1.830702
900.280000,-1.858703
903.280000,-1.887921
906.278000,-1.916008
909.278000,-1.943282
