Trial Number,omega,theta,d,R,T,M,A,sx,L
1,0.009598795207,0.01810606579,0.047,0.05,654.5806189,1.499,3.121544766,7.928723705,219
2,0.009572996649,0.0136430475,0.047,0.05,656.344668,1.499,2.352328079,5.974913321,219
3,0.009435926302,0.01648795657,0.047,0.05,665.8790145,1.499,2.842683551,7.22041622,219
4,0.009381765953,0.01657728123,0.047,0.05,669.7230925,1.499,2.85807836,7.259519034,219
5,0.009403667356,0.0194761621,0.047,0.05,668.1632888,1.499,3.357638564,8.528401952,219
6,0.009696830473,0.01497342283,0.047,0.05,647.9627879,1.499,2.581645265,6.557378973,219
7,0.009607608969,0.01949671373,0.047,0.05,653.9801243,1.499,3.361179815,8.537396731,219
8,0.009341670908,0.01717680878,0.047,0.05,672.5975866,1.499,2.961402562,7.521962508,219
9,0.009518443853,0.01878400932,0.047,0.05,660.1063581,1.499,3.238370441,8.225460921,219
10,0.009370610611,0.01886452374,0.047,0.05,670.5203714,1.499,3.252244586,8.260701248,219
